rule_id,atomic_positive_count,hard_negative_count,min_required,hard_negative_min_required,preferred,status,reason,operator_atomic_count,syntax_synthetic_atomic_count,real_atomic_count,total_atomic_positive_count
abbreviation_case_protection,0,58,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
address_comma,0,32,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
apposition_comma,0,1667,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,2,0
asyndetic_dash,0,32,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
bracket_pair_balance,0,12,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
capitalization_sentence_start,0,1845,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,16,0
clarification_comma,0,198,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
clean_identity_hard_negative,0,54022,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
comma_conjunction,0,389,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
comma_subordinate,0,1842,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,2,0
comparative_turnover_comma,0,194,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
consequence_dash,0,6,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
context_chto_by,0,1684,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
context_nesmotrya,0,947,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
context_tak_zhe,0,1749,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
context_to_zhe,0,2057,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
context_vsledstvie,0,178,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
context_za_to,0,704,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
detached_adverbial_comma,0,1429,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
detached_participial_comma,0,1282,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
dictionary_fuzzy,0,905,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,60,0
direct_speech_colon,0,1287,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
direct_speech_dash,0,318,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
direct_speech_quotes,0,661,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
double_consonant_candidate,0,1879,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,24,0
enumeration_colon,0,268,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
enumeration_dash,0,1789,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
explanation_colon,0,841,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
extra_letter_candidate,0,1162,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,8,0
frequent_error_exact,0,2,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,10,0
homogeneous_comma,0,1907,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
hyphen_koe_koy,0,1,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
hyphen_particles,0,44,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,1,0
hyphen_po_adverbs,0,1901,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
hyphen_whitelist,0,2,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
introductory_comma,0,454,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
keyboard_typo_candidate,0,877,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,35,0
missing_hard_sign,0,2078,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
missing_letter_candidate,0,1193,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,149,0
n_nn_adjective,0,1805,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
n_nn_deverbal_adjective,0,299,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
n_nn_participle,0,2091,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,1,0
n_nn_short_form,0,1574,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ne_adjective,0,1690,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ne_adverb,0,1822,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ne_participle,0,1920,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ne_predicative,0,1870,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ne_short_form,0,2063,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ne_verb,0,2097,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,6,0
ni_particle_context,0,78,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
ni_stable_expression,0,247,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_жо_же,0,874,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_жы_жи,0,2,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_цы_ци,0,74,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_чо_че,0,192,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_шо_ше,0,2039,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_шы_ши,0,2,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_що_ще,0,4,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pattern_щю_щу,0,1,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
pol_polu_compounds,0,92,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
prefix_pre_pri,0,1795,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
prefix_s_to_z,0,271,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
prefix_z_to_s,0,2,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
punctuation_delete_replace,0,54,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,1,0
quote_pair_balance,0,24,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
semicolon,0,6,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
subject_predicate_dash,0,1977,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
swapped_letters_candidate,0,1881,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,23,0
tsya_soft_delete,0,1800,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
tsya_soft_insert,0,1836,2500,500,2500,disabled,below_min_atomic_positive_quota,0,0,0,0
