rule_id,group,gold_count,candidate_present_count,candidate_recall,missing_count,missing_examples
abbreviation_case_protection,orthography_5_1_1,14,14,1.0,0,[]
address_comma,punctuation_6_2_1,3158,3158,1.0,0,[]
apposition_comma,punctuation_5_3,3155,3155,1.0,0,[]
asyndetic_dash,punctuation_7_3_1,3139,3139,1.0,0,[]
bracket_pair_balance,punctuation_9_5,3034,3034,1.0,0,[]
capitalization_sentence_start,orthography_4_12,3646,3646,1.0,0,[]
clarification_comma,punctuation_5_6_3,3169,3169,1.0,0,[]
comma_conjunction,punctuation_7_1_1,3169,3169,1.0,0,[]
comma_subordinate,punctuation_7_2_4_2,3171,3171,1.0,0,[]
comparative_turnover_comma,punctuation_5_8_12,3153,3153,1.0,0,[]
consequence_dash,punctuation_7_3_1,4,4,1.0,0,[]
context_chto_by,orthography_3_6_4_2,378,378,1.0,0,[]
context_nesmotrya,orthography_3_6_1_2,351,351,1.0,0,[]
context_tak_zhe,orthography_3_6_4_2,3158,3158,1.0,0,[]
context_to_zhe,orthography_3_6_4_2,145,145,1.0,0,[]
context_vsledstvie,orthography_3_6_1_2,209,209,1.0,0,[]
context_za_to,orthography_3_6_3_2,219,219,1.0,0,[]
cy_exception,orthography_1_1_2_2,88,88,1.0,0,[]
detached_adverbial_comma,punctuation_5_4_10,3164,3164,1.0,0,[]
detached_participial_comma,punctuation_5_1_3,3184,3184,1.0,0,[]
dictionary_fuzzy,orthography_8_1,88,88,1.0,0,[]
direct_speech_colon,punctuation_8_2,79,79,1.0,0,[]
direct_speech_dash,punctuation_8_2,71,71,1.0,0,[]
direct_speech_quotes,punctuation_8_2,3231,3231,1.0,0,[]
double_consonant_candidate,orthography_1_3_6_9,104,104,1.0,0,[]
enumeration_colon,punctuation_4_14,76,76,1.0,0,[]
enumeration_dash,punctuation_4_8,3,3,1.0,0,[]
explanation_colon,punctuation_10_1,196,196,1.0,0,[]
extra_letter_candidate,orthography_7_1,89,89,1.0,0,[]
final_punctuation_default,punctuation_1_1,3710,3710,1.0,0,[]
frequent_error_exact,orthography_8_1,1891,1891,1.0,0,[]
homogeneous_comma,punctuation_4_14,3152,3152,1.0,0,[]
hyphen_koe_koy,orthography_3_4_2_1,90,90,1.0,0,[]
hyphen_particles,orthography_3_4_2_2,263,263,1.0,0,[]
hyphen_po_adverbs,orthography_3_5_3_2,135,135,1.0,0,[]
hyphen_whitelist,orthography_3_11,11,11,1.0,0,[]
introductory_comma,punctuation_6_5,3157,3157,1.0,0,[]
keyboard_typo_candidate,orthography_7_3,77,77,1.0,0,[]
missing_hard_sign,orthography_1_1_4_1,3144,3144,1.0,0,[]
missing_letter_candidate,orthography_7_1,75,75,1.0,0,[]
n_nn_adjective,orthography_1_3_6_5,3292,3292,1.0,0,[]
n_nn_deverbal_adjective,orthography_1_3_6_7,127,127,1.0,0,[]
n_nn_participle,orthography_1_3_6_6,3159,3159,1.0,0,[]
n_nn_short_form,orthography_1_3_6_8,3229,3229,1.0,0,[]
ne_adjective,orthography_3_7_2_9,3298,3298,1.0,0,[]
ne_adverb,orthography_3_7_2_10,3420,3420,1.0,0,[]
ne_participle,orthography_3_7_2_11,340,340,1.0,0,[]
ne_predicative,orthography_3_7_2_10,259,259,1.0,0,[]
ne_short_form,orthography_3_7_2_9,151,151,1.0,0,[]
ne_verb,orthography_3_7_2_1,3090,3090,1.0,0,[]
ni_particle_context,orthography_3_7_2_10,60,60,1.0,0,[]
ni_stable_expression,orthography_1_2_9_8,74,74,1.0,0,[]
pattern_жо_же,orthography_1_1_2_3,3183,3183,1.0,0,[]
pattern_жы_жи,orthography_1_1_2_2,3168,3168,1.0,0,[]
pattern_цы_ци,orthography_1_1_2_2,3198,3198,1.0,0,[]
pattern_чо_че,orthography_1_1_2_3,3206,3206,1.0,0,[]
pattern_чю_чу,orthography_1_1_2_1,339,339,1.0,0,[]
pattern_чя_ча,orthography_1_1_2_1,3159,3159,1.0,0,[]
pattern_шо_ше,orthography_1_1_2_3,3176,3176,1.0,0,[]
pattern_шы_ши,orthography_1_1_2_2,3152,3152,1.0,0,[]
pattern_що_ще,orthography_1_1_2_3,3148,3148,1.0,0,[]
pattern_щю_щу,orthography_1_1_2_1,188,188,1.0,0,[]
pattern_щя_ща,orthography_1_1_2_1,3130,3130,1.0,0,[]
pol_polu_compounds,orthography_3_1_1_2_9,388,388,1.0,0,[]
prefix_pre_pri,orthography_1_2_3_2,3204,3204,1.0,0,[]
prefix_s_to_z,orthography_1_3_1_4,3154,3154,1.0,0,[]
prefix_z_to_s,orthography_1_3_1_4,3142,3142,1.0,0,[]
punctuation_delete_replace,punctuation_11_6,3164,3164,1.0,0,[]
quote_pair_balance,punctuation_9_6,3153,3153,1.0,0,[]
sdelat_prefix,orthography_1_3_1_4,374,374,1.0,0,[]
semicolon,punctuation_7_3_1,22,22,1.0,0,[]
soft_to_hard_sign,orthography_1_1_4_1,3148,3148,1.0,0,[]
subject_predicate_dash,punctuation_2_2,117,117,1.0,0,[]
swapped_letters_candidate,orthography_7_1,72,72,1.0,0,[]
tsya_soft_delete,orthography_1_1_4_4,3133,3133,1.0,0,[]
tsya_soft_insert,orthography_1_1_4_4,3125,3125,1.0,0,[]
