rule_id,activation_stage,atomic_positive_count,hard_negative_count,candidate_recall,min_atomic_required,preferred_atomic,min_hard_required,corpus_mined_positive_count,syntax_mined_positive_count,morphology_mined_positive_count,real_pattern_replay_positive_count,rule_lab_positive_count,rule_lab_share,main_blocker,top_rejection_reason,recommended_next_action
abbreviation_case_protection,validator_dependent,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
address_comma,production_ready,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
apposition_comma,threshold_calibration,38,0,1.0,500,1500,200,0,0,0,38,0,0.0,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping
asyndetic_dash,needs_training,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,non_atomic_edit_count,non_atomic_edit_count,fix_operator_or_miner_to_generate_atomic_edits
bracket_pair_balance,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,target_quality_failed,target_quality_failed,fix_template_or_context_quality
capitalization_sentence_start,validator_dependent,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
clarification_comma,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
comma_conjunction,threshold_calibration,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
comma_subordinate,production_ready,1119,0,1.0,500,1500,200,0,1119,0,0,0,0.0,hard_negative_count_under_min,candidate_missing,add_hard_negative_miner_or_templates
comparative_turnover_comma,production_ready,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections
consequence_dash,needs_training,0,0,0.0,500,1500,200,0,0,0,0,0,0.0,opportunities_seen_0,opportunities_seen_0,add_rule_specific_miner_or_templates
context_chto_by,threshold_calibration,66,0,1.0,500,1500,200,66,0,0,0,0,0.0,context_injection_share_exceeded,context_injection_share_exceeded,inspect_rule_data_compiler_rejections
context_nesmotrya,threshold_calibration,9,0,1.0,500,1500,200,9,0,0,0,0,0.0,strict_validator_rejected,strict_validator_rejected,fix_strict_validator_support
