split,error_type,source_type,count
test,case,real_error_pair,1
test,case,synthetic_augmented_from_open_clean,304
test,clean_identity,clean_identity_from_open_clean,4550
test,final_punctuation,real_error_pair,55
test,final_punctuation,synthetic_augmented_from_open_clean,239
test,hard_negative,hard_negative_from_open_clean,4550
test,hyphen,real_error_pair,4
test,hyphen,synthetic_augmented_from_open_clean,1392
test,punctuation,real_error_pair,2
test,punctuation,synthetic_augmented_from_open_clean,4998
test,spelling,real_error_pair,128
test,spelling,synthetic_augmented_from_open_clean,4014
test,split_join,real_error_pair,8
test,split_join,synthetic_augmented_from_open_clean,2996
train,case,real_error_pair,91
train,case,synthetic_augmented_from_open_clean,2694
train,clean_identity,clean_identity_from_open_clean,36379
train,final_punctuation,real_error_pair,669
train,final_punctuation,synthetic_augmented_from_open_clean,3080
train,hard_negative,hard_negative_from_open_clean,36379
train,hyphen,real_error_pair,2
train,hyphen,synthetic_augmented_from_open_clean,220
train,punctuation,real_error_pair,13
train,punctuation,synthetic_augmented_from_open_clean,37580
train,spelling,real_error_pair,749
train,spelling,synthetic_augmented_from_open_clean,52219
train,split_join,real_error_pair,51
train,split_join,synthetic_augmented_from_open_clean,15797
val,case,real_error_pair,1
val,case,synthetic_augmented_from_open_clean,373
val,clean_identity,clean_identity_from_open_clean,4546
val,final_punctuation,real_error_pair,49
val,final_punctuation,synthetic_augmented_from_open_clean,274
val,hard_negative,hard_negative_from_open_clean,4546
val,hyphen,synthetic_augmented_from_open_clean,745
val,punctuation,real_error_pair,2
val,punctuation,synthetic_augmented_from_open_clean,4873
val,spelling,real_error_pair,139
val,spelling,synthetic_augmented_from_open_clean,5039
val,split_join,real_error_pair,5
val,split_join,synthetic_augmented_from_open_clean,2648
