rule_id,reason,previous_status,new_status,why_not_generated
abbreviation_case_protection,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
asyndetic_dash,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,no_existing_candidate_backed_pattern
bracket_pair_balance,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
consequence_dash,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,no_existing_candidate_backed_pattern
direct_speech_colon,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
enumeration_dash,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,no_existing_candidate_backed_pattern
frequent_error_exact,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
hyphen_whitelist,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
punctuation_delete_replace,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
quote_pair_balance,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
semicolon,no_existing_candidate_backed_pattern,active,excluded_from_synthetic_target,could_not_reach_minimum_with_existing_candidates
