rule_id,group,gold_gap_count,candidate_gap_present_count,gap_candidate_recall,missing_examples
address_comma,punctuation_6_2_1,3263,3263,1.0,[]
apposition_comma,punctuation_5_3,3259,3259,1.0,[]
asyndetic_dash,punctuation_7_3_1,74,74,1.0,[]
bracket_pair_balance,punctuation_9_5,1738,1738,1.0,[]
clarification_comma,punctuation_5_6_3,3177,3177,1.0,[]
comma_conjunction,punctuation_7_1_1,3277,3277,1.0,[]
comma_subordinate,punctuation_7_2_4_2,3266,3266,1.0,[]
comparative_turnover_comma,punctuation_5_8_12,3258,3258,1.0,[]
cy_exception,orthography_1_1_2_2,1,1,1.0,[]
detached_adverbial_comma,punctuation_5_4_10,3264,3264,1.0,[]
detached_participial_comma,punctuation_5_1_3,4790,4790,1.0,[]
dictionary_fuzzy,orthography_8_1,5,5,1.0,[]
direct_speech_colon,punctuation_8_2,1185,1185,1.0,[]
direct_speech_dash,punctuation_8_2,3262,3262,1.0,[]
direct_speech_quotes,punctuation_8_2,3250,3250,1.0,[]
enumeration_colon,punctuation_4_14,3265,3265,1.0,[]
explanation_colon,punctuation_10_1,3264,3264,1.0,[]
final_punctuation_default,punctuation_1_1,3762,3762,1.0,[]
frequent_error_exact,orthography_8_1,32,32,1.0,[]
homogeneous_comma,punctuation_4_14,3262,3262,1.0,[]
introductory_comma,punctuation_6_5,3260,3260,1.0,[]
missing_hard_sign,orthography_1_1_4_1,91,91,1.0,[]
n_nn_adjective,orthography_1_3_6_5,1,1,1.0,[]
n_nn_deverbal_adjective,orthography_1_3_6_7,19,19,1.0,[]
n_nn_participle,orthography_1_3_6_6,281,281,1.0,[]
n_nn_short_form,orthography_1_3_6_8,248,248,1.0,[]
ne_verb,orthography_3_7_2_1,1,1,1.0,[]
pattern_жо_же,orthography_1_1_2_3,410,410,1.0,[]
pattern_жы_жи,orthography_1_1_2_2,305,305,1.0,[]
pattern_цы_ци,orthography_1_1_2_2,409,409,1.0,[]
pattern_чо_че,orthography_1_1_2_3,285,285,1.0,[]
pattern_чю_чу,orthography_1_1_2_1,34,34,1.0,[]
pattern_чя_ча,orthography_1_1_2_1,450,450,1.0,[]
pattern_шо_ше,orthography_1_1_2_3,358,358,1.0,[]
pattern_шы_ши,orthography_1_1_2_2,263,263,1.0,[]
pattern_що_ще,orthography_1_1_2_3,279,279,1.0,[]
pattern_щю_щу,orthography_1_1_2_1,11,11,1.0,[]
pattern_щя_ща,orthography_1_1_2_1,163,163,1.0,[]
prefix_pre_pri,orthography_1_2_3_2,319,319,1.0,[]
prefix_s_to_z,orthography_1_3_1_4,416,416,1.0,[]
prefix_z_to_s,orthography_1_3_1_4,391,391,1.0,[]
punctuation_delete_replace,punctuation_11_6,1704,1704,1.0,[]
quote_pair_balance,punctuation_9_6,1638,1638,1.0,[]
sdelat_prefix,orthography_1_3_1_4,44,44,1.0,[]
semicolon,punctuation_7_3_1,1642,1642,1.0,[]
soft_to_hard_sign,orthography_1_1_4_1,97,97,1.0,[]
subject_predicate_dash,punctuation_2_2,3270,3270,1.0,[]
tsya_soft_delete,orthography_1_1_4_4,402,402,1.0,[]
tsya_soft_insert,orthography_1_1_4_4,103,103,1.0,[]
