rule_id,is_active_rule,synthetic_count,corpus_opportunity_count,fallback_template_count,multi_error_stress_count,corpus_opportunity_share,fallback_template_share
address_comma,True,3250,2617,10,623,0.8052307692307692,0.003076923076923077
apposition_comma,True,3250,2380,257,613,0.7323076923076923,0.07907692307692307
bracket_pair_balance,True,1738,1258,135,345,0.7238204833141542,0.07767548906789414
capitalization_sentence_start,True,2035,1630,9,396,0.800982800982801,0.004422604422604423
clarification_comma,True,3171,2352,248,571,0.7417218543046358,0.07820876695048881
comma_conjunction,True,3250,2426,216,608,0.7464615384615385,0.06646153846153846
comma_subordinate,True,3250,2498,144,608,0.7686153846153846,0.044307692307692305
comparative_turnover_comma,True,3250,2408,230,612,0.7409230769230769,0.07076923076923076
context_chto_by,True,3250,2414,262,574,0.7427692307692307,0.08061538461538462
context_nesmotrya,True,3249,2342,279,628,0.7208371806709757,0.08587257617728532
context_tak_zhe,True,3250,2399,238,613,0.7381538461538462,0.07323076923076922
context_to_zhe,True,3250,2355,259,636,0.7246153846153847,0.07969230769230769
context_vsledstvie,True,3250,2369,257,624,0.7289230769230769,0.07907692307692307
context_za_to,True,3250,2376,235,639,0.7310769230769231,0.07230769230769231
cy_exception,True,2820,2273,228,319,0.8060283687943263,0.08085106382978724
detached_adverbial_comma,True,3250,2380,266,604,0.7323076923076923,0.08184615384615385
detached_participial_comma,True,2386,1733,187,466,0.7263202011735121,0.07837384744341995
dictionary_fuzzy,True,1763,1410,150,203,0.7997731140102099,0.08508224617129892
direct_speech_colon,True,1185,1057,127,1,0.8919831223628693,0.10717299578059072
direct_speech_dash,True,3250,2386,250,614,0.7341538461538462,0.07692307692307693
direct_speech_quotes,True,3250,3123,127,0,0.9609230769230769,0.03907692307692308
double_consonant_candidate,True,1941,1541,154,246,0.7939206594538898,0.07934054611025244
enumeration_colon,True,3250,2379,276,595,0.732,0.08492307692307692
explanation_colon,True,3250,2412,251,587,0.7421538461538462,0.07723076923076923
extra_letter_candidate,True,1989,1565,197,227,0.7868275515334339,0.09904474610356963
final_punctuation_default,True,3750,3135,0,615,0.836,0.0
frequent_error_exact,True,958,862,2,94,0.8997912317327766,0.0020876826722338203
homogeneous_comma,True,3250,2471,214,565,0.7603076923076924,0.06584615384615385
hyphen_koe_koy,True,3750,2730,315,705,0.728,0.084
hyphen_particles,True,3744,2688,349,707,0.717948717948718,0.09321581196581197
hyphen_po_adverbs,True,3750,2728,292,730,0.7274666666666667,0.07786666666666667
introductory_comma,True,3250,2416,240,594,0.7433846153846154,0.07384615384615385
keyboard_typo_candidate,True,1841,1471,182,188,0.7990222705051603,0.09885931558935361
missing_hard_sign,True,2927,2358,233,336,0.805603006491288,0.07960368978476255
missing_letter_candidate,True,1420,1107,151,162,0.7795774647887324,0.10633802816901408
n_nn_adjective,True,3249,3249,0,0,1.0,0.0
n_nn_deverbal_adjective,True,1772,1403,146,223,0.7917607223476298,0.08239277652370203
n_nn_participle,True,3126,2720,61,345,0.8701215611004478,0.019513755598208574
n_nn_short_form,True,3248,2915,0,333,0.8974753694581281,0.0
ne_adjective,True,3245,2384,259,602,0.7346687211093991,0.0798151001540832
ne_adverb,True,3250,2378,238,634,0.7316923076923076,0.07323076923076922
ne_participle,True,3250,2401,256,593,0.7387692307692307,0.07876923076923077
ne_predicative,True,3211,2321,279,611,0.7228277795079414,0.08688881968234195
ne_short_form,True,3229,2339,261,629,0.7243728708578507,0.08082997832146176
ne_verb,True,3221,2505,158,558,0.777708786091276,0.04905308910276312
ni_particle_context,True,3250,2902,348,0,0.8929230769230769,0.10707692307692308
ni_stable_expression,True,3250,2541,306,403,0.7818461538461539,0.09415384615384616
pattern_жо_же,True,3250,2931,0,319,0.9018461538461539,0.0
pattern_жы_жи,True,3094,2643,140,311,0.8542340012928248,0.04524886877828054
pattern_цы_ци,True,3250,2909,0,341,0.8950769230769231,0.0
pattern_чо_че,True,3250,2912,0,338,0.896,0.0
pattern_чю_чу,True,2893,2319,215,359,0.8015900449360526,0.07431731766332526
pattern_чя_ча,True,3247,2865,64,318,0.8823529411764706,0.01971050200184786
pattern_шо_ше,True,3180,2774,83,323,0.8723270440251573,0.02610062893081761
pattern_шы_ши,True,3081,2610,141,330,0.8471275559883155,0.045764362220058426
pattern_що_ще,True,3092,2654,122,316,0.8583441138421734,0.03945666235446313
pattern_щю_щу,True,2836,2283,228,325,0.8050070521861777,0.08039492242595205
pattern_щя_ща,True,2993,2469,194,330,0.8249248245907117,0.06481790845305713
pol_polu_compounds,True,3250,2369,275,606,0.7289230769230769,0.08461538461538462
prefix_pre_pri,True,3249,2902,0,347,0.8931979070483226,0.0
prefix_s_to_z,True,3250,2886,32,332,0.888,0.009846153846153846
prefix_z_to_s,True,3187,2791,69,327,0.8757452149356761,0.02165045497332915
punctuation_delete_replace,True,1700,1247,130,323,0.7335294117647059,0.07647058823529412
quote_pair_balance,True,1634,1167,133,334,0.7141982864137086,0.08139534883720931
sdelat_prefix,True,2847,2311,233,303,0.8117316473480857,0.08184053389532842
semicolon,True,1637,1160,140,337,0.708613317043372,0.0855222968845449
soft_to_hard_sign,True,2919,2372,218,329,0.8126070572113737,0.07468311065433368
subject_predicate_dash,True,3250,2383,273,594,0.7332307692307692,0.084
swapped_letters_candidate,True,1909,1515,187,207,0.7936092194866422,0.09795704557359874
tsya_soft_delete,True,3211,2788,111,312,0.8682653379009654,0.03456867019620056
tsya_soft_insert,True,2925,2386,218,321,0.8157264957264957,0.07452991452991453
