taxonomy_key,domain,title,project_rule_ids,missing_modules,training_decision,training_reason
orthography_4_1_1,orthography,"Личные имена, отчества, фамилии, псевдонимы, прозвища","[""capitalization_ner""]","[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_2_1,orthography,Географические и административно-территориальные названия,[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_2_4,orthography,Названия стран света,[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_2_5,orthography,"Однословные производные названия территорий, областей, местностей",[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_2_6,orthography,Неофициальные устойчивые названия государств и городов,[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_2_7,orthography,"Названия железнодорожных станций, вокзалов, аэропортов",[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_6_1,orthography,Официальные составные названия,[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_6_3,orthography,Высшие представительные учреждения зарубежных стран,[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_7_1,orthography,"Прописная буква в названиях документов, государственных законов, архитектурных памятников, предметов и произведений искусства",[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_8,orthography,"Названия должностей, званий, титулов",[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_4_9,orthography,"Названия орденов, медалей, наград, знаков отличия",[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
orthography_7_9,orthography,Пропуск точки после инициала,[],"[""ner""]",BLOCK_NEEDS_NER,requires explicit NER support; optional syntax NER labels are not enough
