rule_id,accepted
bracket_pair_balance,2379
capitalization_sentence_start,3003
comma_conjunction,2271
comma_subordinate,2577
context_chto_by,1750
context_tak_zhe,2104
final_punctuation_default,2411
frequent_error_exact,1486
missing_hard_sign,2596
n_nn_adjective,2533
n_nn_participle,2099
n_nn_short_form,2217
ne_adjective,2515
ne_adverb,2464
ne_participle,1426
ne_predicative,1443
ne_verb,1480
pattern_жо_же,3004
pattern_жы_жи,2733
pattern_цы_ци,3025
pattern_чо_че,3238
pattern_чю_чу,1761
pattern_чя_ча,2866
pattern_шо_ше,2781
pattern_шы_ши,2707
pattern_що_ще,2684
pattern_щя_ща,2602
prefix_pre_pri,3239
prefix_s_to_z,2821
prefix_z_to_s,2782
punctuation_delete_replace,1549
sdelat_prefix,1902
soft_to_hard_sign,2575
tsya_soft_delete,2694
tsya_soft_insert,2592
