rule_id,operator,error_type,requires
abbreviation_case_protection,RuleCorruptionBackedOperator,spelling,
address_comma,PunctuationCorruptionOperator,punctuation,syntax
apposition_comma,PunctuationCorruptionOperator,punctuation,syntax
asyndetic_dash,PunctuationCorruptionOperator,punctuation,syntax
bracket_pair_balance,PunctuationCorruptionOperator,punctuation,syntax
capitalization_sentence_start,RuleCorruptionBackedOperator,spelling,
clarification_comma,PunctuationCorruptionOperator,punctuation,syntax
comma_conjunction,PunctuationCorruptionOperator,punctuation,syntax
comma_subordinate,PunctuationCorruptionOperator,punctuation,syntax
comparative_turnover_comma,PunctuationCorruptionOperator,punctuation,syntax
consequence_dash,PunctuationCorruptionOperator,punctuation,syntax
context_chto_by,ReplacementCorruptionOperator,spelling,
context_nesmotrya,ReplacementCorruptionOperator,spelling,
context_tak_zhe,ReplacementCorruptionOperator,spelling,
context_to_zhe,ReplacementCorruptionOperator,spelling,
context_vsledstvie,ReplacementCorruptionOperator,spelling,
context_za_to,ReplacementCorruptionOperator,spelling,
cy_exception,RuleCorruptionBackedOperator,spelling,
detached_adverbial_comma,PunctuationCorruptionOperator,punctuation,syntax
detached_participial_comma,PunctuationCorruptionOperator,punctuation,syntax
dictionary_fuzzy,ReplacementCorruptionOperator,spelling,
direct_speech_colon,PunctuationCorruptionOperator,punctuation,syntax
direct_speech_dash,PunctuationCorruptionOperator,punctuation,syntax
direct_speech_quotes,PunctuationCorruptionOperator,punctuation,syntax
double_consonant_candidate,ReplacementCorruptionOperator,spelling,
enumeration_colon,PunctuationCorruptionOperator,punctuation,syntax
enumeration_dash,PunctuationCorruptionOperator,punctuation,syntax
explanation_colon,PunctuationCorruptionOperator,punctuation,syntax
extra_letter_candidate,ReplacementCorruptionOperator,spelling,
final_punctuation_default,PunctuationCorruptionOperator,punctuation,syntax
frequent_error_exact,RuleCorruptionBackedOperator,spelling,
homogeneous_comma,PunctuationCorruptionOperator,punctuation,syntax
hyphen_koe_koy,RuleCorruptionBackedOperator,spelling,
hyphen_particles,RuleCorruptionBackedOperator,spelling,
hyphen_po_adverbs,RuleCorruptionBackedOperator,spelling,
hyphen_whitelist,RuleCorruptionBackedOperator,spelling,
introductory_comma,PunctuationCorruptionOperator,punctuation,syntax
keyboard_typo_candidate,ReplacementCorruptionOperator,spelling,
missing_hard_sign,RuleCorruptionBackedOperator,spelling,
missing_letter_candidate,ReplacementCorruptionOperator,spelling,
n_nn_adjective,RuleCorruptionBackedOperator,spelling,
n_nn_deverbal_adjective,RuleCorruptionBackedOperator,spelling,
n_nn_participle,RuleCorruptionBackedOperator,spelling,
n_nn_short_form,RuleCorruptionBackedOperator,spelling,
ne_adjective,RuleCorruptionBackedOperator,spelling,
ne_adverb,RuleCorruptionBackedOperator,spelling,
ne_participle,RuleCorruptionBackedOperator,spelling,
ne_predicative,RuleCorruptionBackedOperator,spelling,
ne_short_form,RuleCorruptionBackedOperator,spelling,
ne_verb,RuleCorruptionBackedOperator,spelling,
ni_particle_context,RuleCorruptionBackedOperator,spelling,
ni_stable_expression,RuleCorruptionBackedOperator,spelling,
pattern_жо_же,RuleCorruptionBackedOperator,spelling,
pattern_жы_жи,RuleCorruptionBackedOperator,spelling,
pattern_цы_ци,RuleCorruptionBackedOperator,spelling,
pattern_чо_че,RuleCorruptionBackedOperator,spelling,
pattern_чю_чу,RuleCorruptionBackedOperator,spelling,
pattern_чя_ча,RuleCorruptionBackedOperator,spelling,
pattern_шо_ше,RuleCorruptionBackedOperator,spelling,
pattern_шы_ши,RuleCorruptionBackedOperator,spelling,
pattern_що_ще,RuleCorruptionBackedOperator,spelling,
pattern_щю_щу,RuleCorruptionBackedOperator,spelling,
pattern_щя_ща,RuleCorruptionBackedOperator,spelling,
pol_polu_compounds,RuleCorruptionBackedOperator,spelling,
prefix_pre_pri,RuleCorruptionBackedOperator,spelling,
prefix_s_to_z,RuleCorruptionBackedOperator,spelling,
prefix_z_to_s,RuleCorruptionBackedOperator,spelling,
punctuation_delete_replace,PunctuationCorruptionOperator,punctuation,syntax
quote_pair_balance,PunctuationCorruptionOperator,punctuation,syntax
sdelat_prefix,RuleCorruptionBackedOperator,spelling,
semicolon,PunctuationCorruptionOperator,punctuation,syntax
soft_to_hard_sign,RuleCorruptionBackedOperator,spelling,
subject_predicate_dash,PunctuationCorruptionOperator,punctuation,syntax
swapped_letters_candidate,ReplacementCorruptionOperator,spelling,
tsya_soft_delete,RuleCorruptionBackedOperator,spelling,
tsya_soft_insert,RuleCorruptionBackedOperator,spelling,
