rule_id,generated_count,status,reason
address_comma,50,covered,
apposition_comma,50,covered,
asyndetic_dash,32,covered,
bracket_pair_balance,12,covered,
clarification_comma,50,covered,
comma_conjunction,50,covered,
comma_subordinate,50,covered,
comparative_turnover_comma,50,covered,
consequence_dash,6,covered,
context_chto_by,4,covered,
context_nesmotrya,4,covered,
context_tak_zhe,30,covered,
context_to_zhe,4,covered,
context_vsledstvie,4,covered,
context_za_to,4,covered,
detached_adverbial_comma,50,covered,
detached_participial_comma,50,covered,
direct_speech_colon,34,covered,
direct_speech_dash,8,covered,
direct_speech_quotes,8,covered,
enumeration_colon,38,covered,
enumeration_dash,12,covered,
explanation_colon,6,covered,
homogeneous_comma,50,covered,
introductory_comma,50,covered,
n_nn_adjective,26,covered,
n_nn_deverbal_adjective,12,covered,
n_nn_participle,6,covered,
n_nn_short_form,1,covered,
ne_adjective,3,covered,
ne_adverb,2,covered,
ne_participle,3,covered,
ne_predicative,4,covered,
ne_short_form,1,covered,
ne_verb,30,covered,
ni_particle_context,12,covered,
ni_stable_expression,38,covered,
punctuation_delete_replace,50,covered,
quote_pair_balance,38,covered,
semicolon,6,covered,
subject_predicate_dash,50,covered,
tsya_soft_delete,8,covered,
tsya_soft_insert,42,covered,
