rule_id,error_type,count,accepted_count,rejected_count,false_positive_count,false_negative_count
comma_conjunction,punctuation,5,0,0,0,5
comma_subordinate,punctuation,7,0,0,0,7
enumeration_colon,punctuation,1,0,0,0,1
final_punctuation_default,final_punctuation,7,8,0,6,5
frequent_error_exact,spelling,23,12,0,0,11
frequent_error_exact,split_join,5,0,0,0,5
hyphen_koe_koy,hyphen,2,0,0,0,2
hyphen_particles,hyphen,4,0,0,0,4
hyphen_po_adverbs,hyphen,2,0,0,0,2
hyphen_whitelist,hyphen,5,0,0,0,5
introductory_comma,punctuation,3,0,0,0,3
ne_verb,split_join,3,0,0,0,3
pattern_жы_жи,spelling,3,3,0,0,0
pattern_цы_ци,spelling,2,2,0,0,0
pattern_шо_ше,spelling,2,2,0,0,0
prefix_z_to_s,spelling,1,1,0,0,0
punctuation_delete_replace,punctuation,14,7,0,3,10
quotes_brackets,punctuation,12,0,0,0,12
semicolon,punctuation,2,0,0,0,2
sentence_start_case,case,0,14,0,14,0
soft_to_hard_sign,spelling,2,2,0,0,0
subject_predicate_dash,punctuation,3,0,0,0,3
tsya_soft_delete,spelling,2,0,0,0,2
unknown,case,1,0,0,0,1
unknown,final_punctuation,1,0,0,0,1
unknown,spelling,1,0,0,0,1
