rule_id,example_count,exact_match,char_accuracy,changed_when_needed,unchanged_when_clean,overcorrection_rate,edit_precision,edit_recall,edit_f1,rejected_by_threshold,rejected_by_scope_guard
casing_common_lowercase,20,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0
casing_documents_events,24,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
casing_formal_you_guard,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
casing_geo_names,21,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
casing_organizations,28,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
casing_person_names,20,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
casing_sentence_start,15,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0
comma_adversative,76,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
comma_homogeneous,80,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
comma_introductory,82,1.0,1.0,1.0,1.0,0.0,0.9672131147540983,0.9672131147540983,0.9672131147540983,0,0
comma_subordinate,94,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
compound_adverbs,13,1.0,1.0,1.0,1.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0,0
compound_ne_spellings,22,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0
compound_nouns_adjectives,21,0.9523809523809523,0.9993386243386243,0.9285714285714286,1.0,0.0,1.0,1.0,1.0,0,0
compound_pol_polu,19,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
compound_prepositions,20,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
compound_pronouns_particles,23,0.9565217391304348,0.9993876301285975,0.9523809523809523,1.0,0.0,0.65,0.65,0.65,0,0
compound_service_words,22,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
dash_subject_predicate,20,1.0,1.0,1.0,1.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0,0
dialogue_author_before,54,0.9259259259259259,0.9991908494413257,1.0,1.0,0.0,0.7407407407407407,0.7317073170731707,0.7361963190184049,1,0
dialogue_author_inside_speech,18,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0
dialogue_bracket_guards,12,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
dialogue_speech_before_author,34,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
dictionary_borrowed_words,31,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
dictionary_common_misspellings,31,1.0,1.0,1.0,1.0,0.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0,0
dictionary_domain_terms,27,1.0,1.0,1.0,1.0,0.0,0.9565217391304348,0.9565217391304348,0.9565217391304348,0,0
dictionary_normative_words,32,1.0,1.0,1.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0,0
