row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
0,test,54,9,4844.117200002074,4837.6108999946155,4828.593399986858,1.2424000015016645,0.0034999975468963385,2.1254000021144748,1.6909999976633117,1.8056999979307875,0.8705000000190921,12,0,1,9,capitalization_sentence_start|final_punctuation_default|frequent_error_exact,dictionary
1,test,29,5,27.681500003382098,24.822799998219125,19.261800007370766,0.29889999859733507,0.0023999964469112456,0.8993999945232645,0.26149999757763,1.1602000013226643,0.5276999945635907,8,1,1,5,capitalization_sentence_start|final_punctuation_default|missing_letter_candidate,dictionary
2,test,31,6,42.56850000092527,38.694099996064324,33.75470000173664,0.29429999995045364,0.001500004145782441,1.0851999977603555,0.5490000039571896,1.6163000036613084,0.6144000071799383,11,2,1,6,capitalization_sentence_start|final_punctuation_default|frequent_error_exact|keyboard_typo_candidate|missing_letter_candidate,dictionary
3,test,148,21,74.29659999615978,65.79690000216942,44.92319999553729,1.218099998368416,0.0016999983927235007,3.4555000020191073,0.5030999964219518,2.412099995126482,2.1188999962760136,16,2,2,21,capitalization_sentence_start|comma_conjunction|dictionary_fuzzy|final_punctuation_default|missing_letter_candidate,dictionary
4,test,71,12,18.24029999988852,12.658100000408012,1.224499981617555,0.47050000284798443,0.001700005668681115,1.9773000021814369,0.35879999632015824,2.1796000000904314,1.0559000002103858,16,2,2,12,capitalization_sentence_start|comma_subordinate|final_punctuation_default|frequent_error_exact|keyboard_typo_candidate|missing_letter_candidate,diff_alignment
5,test,41,6,30.12289999605855,26.68900000571739,21.834399994986597,0.3180999992764555,0.0013999961083754897,1.0249999977531843,0.27859999681822956,1.4980999985709786,0.6234999964362942,10,2,1,6,capitalization_sentence_start|double_consonant_candidate|final_punctuation_default|keyboard_typo_candidate,dictionary
6,test,79,12,76.02500000211876,70.51640000281623,60.717899999872316,0.42940000275848433,0.001400003384333104,1.8911000006482936,0.3460000007180497,2.131000001099892,1.1311000052955933,15,1,1,12,capitalization_sentence_start|final_punctuation_default|missing_letter_candidate,dictionary
7,test,44,7,59.92970000079367,56.036100002529565,49.113400011265185,0.3193000011378899,0.0012999953469261527,1.1483000052976422,0.3015000038431026,1.6590000013820827,0.7757999992463738,10,1,1,7,capitalization_sentence_start|double_consonant_candidate|final_punctuation_default,dictionary
8,test,30,7,13.711999999941327,9.868199995253235,3.1404999899677932,0.3068000005441718,0.001500004145782441,1.193699994473718,0.33519999851705506,1.672799997322727,0.6334999925456941,12,2,1,7,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|frequent_error_exact,dictionary
9,test,58,11,48.51300000154879,43.29429999779677,35.38889998890227,0.4211000050418079,0.0014999968698248267,1.6733999946154654,0.3279999946244061,2.249199998914264,0.9588999964762479,16,3,1,11,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,dictionary
10,test,142,17,83.89689999603434,76.18789999833098,57.974100003775675,0.5893999987165444,0.001400003384333104,2.8721000053337775,0.589900002523791,2.283599998918362,1.9538999986252747,16,2,1,17,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default,dictionary
11,test,45,6,119.92019999888726,116.17269999987911,107.61140000249725,0.35740000021178275,0.0012999953469261527,1.0623999987728894,0.27859999681822956,1.7005000045173801,0.6964000058360398,12,2,2,6,capitalization_sentence_start|comma_subordinate|context_chto_by|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,dictionary
12,test,56,10,53.63490000308957,49.01180000160821,42.60439999779919,0.3680000008898787,0.001600004907231778,1.5428999977302738,0.29879999783588573,1.899700000649318,0.8729999972274527,14,2,1,10,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|missing_letter_candidate,dictionary
13,test,30,5,35.95849999692291,32.98440000071423,27.602000001934357,0.27830000180983916,0.001400003384333104,0.862199995026458,0.3832000002148561,1.185199995234143,0.5352999942260794,8,1,1,5,capitalization_sentence_start|final_punctuation_default|keyboard_typo_candidate,dictionary
14,test,76,14,68.45980000070995,62.42479999491479,50.41579999669921,0.5582999947364442,0.001400003384333104,2.2011000037309714,0.3443999958108179,2.2250000038184226,1.254099996003788,16,1,2,14,capitalization_sentence_start|comma_conjunction|dictionary_fuzzy|final_punctuation_default,dictionary
15,test,119,19,110.66130000108387,103.02709999814397,89.782799987006,0.5638000002363697,0.0020000006770715117,3.0731000006198883,0.45089999912306666,2.2099000052548945,1.8895000030170195,16,3,1,19,capitalization_sentence_start|final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate|swapped_letters_candidate,dictionary
16,test,74,13,13.718000001972541,8.006800002476666,1.1144999953103252,0.490999998874031,0.001600004907231778,2.1017000035499223,0.3097000007983297,2.136299997800961,1.1553000076673925,16,0,2,13,capitalization_sentence_start|comma_subordinate|final_punctuation_default|frequent_error_exact,diff_alignment
17,test,52,7,37.37340000225231,33.16509999422124,27.876899992406834,0.33430000621592626,0.0016999983927235007,1.5303999971365556,0.3166999958921224,1.6316000037477352,0.7209000032162294,11,2,1,7,capitalization_sentence_start|double_consonant_candidate|final_punctuation_default|missing_letter_candidate,dictionary
18,test,79,13,27.808000006189104,22.093899999163114,12.332199992670212,0.48270000115735456,0.0015999976312741637,1.9672999987960793,0.4592000041157007,2.151599997887388,1.1269999959040433,16,1,2,13,capitalization_sentence_start|comma_subordinate|final_punctuation_default|missing_letter_candidate,dictionary
19,test,31,5,11.05470000038622,8.17559999995865,2.259599990793504,0.2528000040911138,0.001400003384333104,0.8602000016253442,0.2575999969849363,1.211999995575752,0.5418000000645407,9,2,1,5,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,dictionary
20,test,29,5,6.201999996847007,3.3643999995547347,0.43030000233557075,0.21150000247871503,0.0011000010999850929,0.8312000063597225,0.24649999977555126,1.1191000012331642,0.6340000036288984,9,2,1,5,capitalization_sentence_start|dictionary_fuzzy|keyboard_typo_candidate|punctuation_delete_replace,diff_alignment
21,test,54,9,8.486500002618413,3.932899999199435,0.13300000864546746,0.39680000190855935,0.0008999995770864189,1.6840999960550107,0.23150000197347254,1.575900001625996,1.0538999995333143,12,0,1,9,capitalization_sentence_start|final_punctuation_default|frequent_error_exact,diff_alignment
22,test,29,5,5.189800001971889,2.3424999963026494,0.07980000373208895,0.2308999974047765,0.0011000010999850929,0.8919999963836744,0.21489999926416203,1.01120000181254,0.7223000066005625,8,1,1,5,capitalization_sentence_start|final_punctuation_default|missing_letter_candidate,diff_alignment
23,test,31,6,5.664299998898059,2.434200003335718,0.09199999476550147,0.24729999859118834,0.0012000018614344299,1.0437000019010156,0.22140000510262325,1.3300999999046326,0.6272999962675385,11,2,1,6,capitalization_sentence_start|final_punctuation_default|frequent_error_exact|keyboard_typo_candidate|missing_letter_candidate,diff_alignment
24,test,148,21,17.17369999823859,8.242199997766875,0.3232000090065412,0.6799000038881786,0.0012999953469261527,3.5391999990679324,0.41200000123353675,2.163100005418528,2.8076000016881153,16,2,2,21,capitalization_sentence_start|comma_conjunction|dictionary_fuzzy|final_punctuation_default|missing_letter_candidate,diff_alignment
25,test,71,12,10.400699997262564,4.796900000656024,0.19839999731630087,0.4361000028438866,0.001400003384333104,2.0392000005813316,0.29290000384207815,1.949500001501292,1.3138000067556277,16,2,2,12,capitalization_sentence_start|comma_subordinate|final_punctuation_default|frequent_error_exact|keyboard_typo_candidate|missing_letter_candidate,diff_alignment
26,test,41,6,5.650600003718864,2.53540000267094,0.12070000229869038,0.28440000460250303,0.0011999945854768157,1.0084999958053231,0.240100001974497,1.2223000012454577,0.6369999973685481,10,2,1,6,capitalization_sentence_start|double_consonant_candidate|final_punctuation_default|keyboard_typo_candidate,diff_alignment
27,test,79,12,10.930100004770793,4.534400002739858,0.17850000585895032,0.38979999953880906,0.0010000003385357559,1.9185999990440905,0.2668000015546568,2.905300003476441,1.297599999816157,15,1,1,12,capitalization_sentence_start|final_punctuation_default|missing_letter_candidate,diff_alignment
28,test,44,7,6.132200003776234,2.795400003378745,0.10050000855699182,0.2840000015567057,0.0012000018614344299,1.1379999996279366,0.2303000001120381,1.2489000000641681,0.7126999989850447,10,1,1,7,capitalization_sentence_start|double_consonant_candidate|final_punctuation_default,diff_alignment
29,test,30,7,6.457399998907931,2.9590999984066,0.0732999833417125,0.25859999732347205,0.0010000003385357559,1.2065000046277419,0.21090000518597662,1.4223000034689903,0.6513999978778884,12,2,1,7,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|frequent_error_exact,diff_alignment
30,test,58,11,9.005399995658081,4.09879999642726,0.1224999941769056,0.3561999983503483,0.0029000002541579306,1.665399999183137,0.23939999664435163,1.841200006310828,1.15380000352161,16,3,1,11,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,diff_alignment
31,test,142,17,13.628000000608154,6.443799997214228,0.3065999917453155,0.5348999984562397,0.0010999938240274787,2.8692999985651113,0.29850000282749534,1.8907999983639456,2.1183999997447245,16,2,1,17,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default,diff_alignment
32,test,45,6,6.634899997152388,3.0914000017219223,0.11559999984456226,0.29599999834317714,0.0010000003385357559,1.0624999995343387,0.21839999681105837,1.4807000043219887,0.774600004660897,12,2,2,6,capitalization_sentence_start|comma_subordinate|context_chto_by|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,diff_alignment
33,test,56,10,8.46099999762373,3.914599998097401,0.14560000272467732,0.32759999885456637,0.0008999995770864189,1.5740999951958656,0.22679999528918415,1.6613000043435022,1.0770000008051284,14,2,1,10,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|missing_letter_candidate,diff_alignment
34,test,30,5,4.770999999891501,2.0810999994864687,0.07130000449251384,0.24080000002868474,0.0011000010999850929,0.8803999953670427,0.2060999977402389,0.9624000012991019,0.6347000016830862,8,1,1,5,capitalization_sentence_start|final_punctuation_default|keyboard_typo_candidate,diff_alignment
