rule_id,group,gold_gap_count,candidate_gap_present_count,gap_candidate_recall,missing_examples
address_comma,addresses_interjections_particles,2341,2341,1.0,[]
comma_conjunction,homogeneous_commas,2336,2336,1.0,[]
comma_subordinate,complex_sentence_subordinate,2339,2339,1.0,[]
comparative_turnover_comma,comparative_turnovers,2340,2340,1.0,[]
detached_adverbial_comma,detached_adverbials,2339,2339,1.0,[]
direct_speech_colon,direct_speech_quotes,2009,2009,1.0,[]
direct_speech_dash,direct_speech_quotes,2007,2007,1.0,[]
direct_speech_quotes,direct_speech_quotes,2009,2009,1.0,[]
enumeration_colon,homogeneous_generalizing_word,2008,2008,1.0,[]
explanation_colon,complex_sentence_asyndetic,1837,1837,1.0,[]
homogeneous_comma,homogeneous_commas,2342,2342,1.0,[]
introductory_comma,introductory_words,2337,2337,1.0,[]
subject_predicate_dash,dash_subject_predicate,2346,2346,1.0,[]
