rule_id,group,gold_count,predicted_count,true_positive,false_positive,false_negative,precision,recall,f1
address_comma,addresses_interjections_particles,4,1,1,0,3,1.0,0.25,0.4
bracket_pair_balance,quotes_brackets,10,0,0,0,10,0.0,0.0,0.0
capitalization_ner,capitalization_geo_org_events,0,2,0,2,0,0.0,0.0,0.0
capitalization_sentence_start,capitalization_sentence_start,0,1,0,1,0,0.0,0.0,0.0
comma_conjunction,homogeneous_commas,10,7,6,1,4,0.8571428571428571,0.6,0.7058823529411764
comma_subordinate,complex_sentence_subordinate,15,15,15,0,0,1.0,1.0,1.0
context_chto_by,solid_hyphen_separate_service_words,2,0,0,0,2,0.0,0.0,0.0
context_za_to,solid_hyphen_separate_service_words,2,0,0,0,2,0.0,0.0,0.0
detached_adverbial_comma,detached_adverbials,5,1,1,0,4,1.0,0.2,0.33333333333333337
direct_speech_colon,direct_speech_quotes,5,1,0,1,5,0.0,0.0,0.0
direct_speech_quotes,direct_speech_quotes,10,6,4,2,6,0.6666666666666666,0.4,0.5
enumeration_colon,homogeneous_generalizing_word,5,0,0,0,5,0.0,0.0,0.0
final_punctuation_default,sentence_final_default_dot,14,11,6,5,8,0.5454545454545454,0.42857142857142855,0.4799999999999999
frequent_error_exact,typical_dictionary_words,48,33,33,0,15,1.0,0.6875,0.8148148148148148
homogeneous_comma,homogeneous_commas,5,5,5,0,0,1.0,1.0,1.0
hyphen_koe_koy,solid_hyphen_separate_pronouns_adverbs_particles,3,3,3,0,0,1.0,1.0,1.0
hyphen_particles,solid_hyphen_separate_pronouns_adverbs_particles,11,11,11,0,0,1.0,1.0,1.0
hyphen_whitelist,solid_hyphen_separate_pronouns_adverbs_particles,15,9,9,0,6,1.0,0.6,0.7499999999999999
introductory_comma,introductory_words,8,6,6,0,2,1.0,0.75,0.8571428571428571
missing_hard_sign,hard_soft_signs,2,2,2,0,0,1.0,1.0,1.0
n_nn_adjective,n_nn_suffixes,3,3,3,0,0,1.0,1.0,1.0
n_nn_short_form,n_nn_suffixes,0,1,0,1,0,0.0,0.0,0.0
ne_adjective,solid_hyphen_separate_ne,0,1,0,1,0,0.0,0.0,0.0
ne_adverb,solid_hyphen_separate_ne,4,1,0,1,4,0.0,0.0,0.0
ne_verb,ne_ni_particles,5,1,1,0,4,1.0,0.2,0.33333333333333337
pattern_жо_же,letter_basic_hissing_vowel_patterns,1,1,1,0,0,1.0,1.0,1.0
pattern_жы_жи,letter_basic_hissing_vowel_patterns,4,3,3,0,1,1.0,0.75,0.8571428571428571
pattern_цы_ци,letter_basic_hissing_vowel_patterns,3,3,3,0,0,1.0,1.0,1.0
pattern_шо_ше,letter_basic_hissing_vowel_patterns,1,1,1,0,0,1.0,1.0,1.0
pattern_шы_ши,letter_basic_hissing_vowel_patterns,1,1,1,0,0,1.0,1.0,1.0
pattern_що_ще,letter_basic_hissing_vowel_patterns,1,1,1,0,0,1.0,1.0,1.0
prefix_pre_pri,prefix_vowels,3,1,0,1,3,0.0,0.0,0.0
prefix_z_to_s,consonants_prefix_z_s,4,4,4,0,0,1.0,1.0,1.0
punctuation_delete_replace,punctuation_combinations,38,23,9,14,29,0.391304347826087,0.23684210526315788,0.2950819672131147
quote_close,quotes_brackets,5,4,0,4,5,0.0,0.0,0.0
quote_open,quotes_brackets,5,4,0,4,5,0.0,0.0,0.0
semicolon,complex_sentence_compound,3,0,0,0,3,0.0,0.0,0.0
soft_to_hard_sign,hard_soft_signs,2,0,0,0,2,0.0,0.0,0.0
subject_predicate_dash,dash_subject_predicate,13,1,0,1,13,0.0,0.0,0.0
tsya_soft_delete,soft_sign_grammatical_forms,4,0,0,0,4,0.0,0.0,0.0
unknown,unknown,7,66,0,66,7,0.0,0.0,0.0
