matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
orthography_group_pravila_upotrebleniya_bukv,orthography,,Правила употребления букв,group,[],1,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila,orthography,,Общие правила,group,"[""Правила употребления букв""]",2,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_ne_posle_shipyaschih_i_ts,orthography,,Гласные не после шипящих и «ц»,group,"[""Правила употребления букв"", ""Общие правила""]",3,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_1_1_1_1,orthography,1.1.1.1,"Буквы «а» — «я», «у» — «ю»",leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные не после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буквы_а_я_у_ю/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_1_1_1_2,orthography,1.1.1.2,Буква «о»,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные не после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буква_о/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_1_1_1_3,orthography,1.1.1.3,Буква «ё»,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные не после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буква_ё/,disabled,false,"[""yo_e_candidate""]","[""dictionary"", ""model""]",false,disabled
orthography_1_1_1_4,orthography,1.1.1.4,Буквы «э» — «е»,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные не после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буквы_е_э/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_1_1_1_5,orthography,1.1.1.5,Буква «и»,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные не после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буква_и/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_1_1_1_6,orthography,1.1.1.6,Буква «ы»,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные не после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буква_ы/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
orthography_group_pravila_upotrebleniya_bukv_obschie_pravila_glasnye_posle_shipyaschih_i_ts,orthography,,Гласные после шипящих и «ц»,group,"[""Правила употребления букв"", ""Общие правила""]",3,https://orfogrammka.ru/орфография/,metadata_only,false,[],[],false,metadata_only
orthography_1_1_2_1,orthography,1.1.2.1,"Буквы «а», «у»",leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буквы_а_у/,implemented,true,"[""pattern_чя_ча"", ""pattern_щя_ща"", ""pattern_чю_чу"", ""pattern_щю_щу""]","[""dictionary""]",true,eligible_candidate_backed
orthography_1_1_2_2,orthography,1.1.2.2,"Буквы «и», «ы»",leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буквы_и_ы/,implemented,true,"[""pattern_жы_жи"", ""pattern_шы_ши"", ""pattern_цы_ци"", ""cy_exception""]","[""dictionary""]",true,eligible_candidate_backed
orthography_1_1_2_3,orthography,1.1.2.3,Буква «е» на месте ударной гласной,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буква_е_на_месте_ударной_гласной/,partial,true,"[""pattern_жо_же"", ""pattern_шо_ше"", ""pattern_чо_че"", ""pattern_що_ще""]","[""dictionary""]",true,eligible_but_needs_more_training
orthography_1_1_2_4,orthography,1.1.2.4,Буква «о» на месте ударной гласной,leaf_rule,"[""Правила употребления букв"", ""Общие правила"", ""Гласные после шипящих и «ц»""]",4,https://orfogrammka.ru/орфография/буква_о_на_месте_ударной_гласной/,dictionary_model_required,false,[],"[""dictionary"", ""model""]",false,needs_dictionary
