rule_id,group,gold_gap_count,candidate_gap_present_count,gap_candidate_recall,missing_examples
address_comma,addresses_interjections_particles,1200,1200,1.0,[]
comma_conjunction,homogeneous_commas,2200,2200,1.0,[]
comma_subordinate,complex_sentence_subordinate,2800,2800,1.0,[]
comparative_turnover_comma,comparative_turnovers,1000,1000,1.0,[]
detached_adverbial_comma,detached_adverbials,1300,1300,1.0,[]
direct_speech_colon,direct_speech_quotes,1200,1200,1.0,[]
direct_speech_dash,direct_speech_quotes,400,400,1.0,[]
direct_speech_quotes,direct_speech_quotes,2400,2400,1.0,[]
enumeration_colon,homogeneous_generalizing_word,1200,1200,1.0,[]
final_punctuation_default,sentence_final_default_dot,2500,2500,1.0,[]
homogeneous_comma,homogeneous_commas,1300,1300,1.0,[]
introductory_comma,introductory_words,1500,1500,1.0,[]
subject_predicate_dash,dash_subject_predicate,1400,1400,1.0,[]
