split,error_type,source_type,count
test,case,real_error_pair,5
test,clean_identity,clean_identity_from_open_clean,650
test,final_punctuation,real_error_pair,19
test,hard_negative,hard_negative_from_open_clean,650
test,hyphen,real_error_pair,3
test,hyphen,synthetic_augmented_from_open_clean,458
test,punctuation,real_error_pair,10
test,punctuation,synthetic_augmented_from_open_clean,1096
test,spelling,real_error_pair,31
test,spelling,synthetic_augmented_from_open_clean,919
test,split_join,real_error_pair,17
test,split_join,synthetic_augmented_from_open_clean,1142
train,case,real_error_pair,35
train,clean_identity,clean_identity_from_open_clean,6500
train,final_punctuation,real_error_pair,232
train,final_punctuation,synthetic_augmented_from_open_clean,687
train,hard_negative,hard_negative_from_open_clean,6500
train,hyphen,real_error_pair,29
train,hyphen,synthetic_augmented_from_open_clean,3318
train,punctuation,real_error_pair,117
train,punctuation,synthetic_augmented_from_open_clean,10215
train,spelling,real_error_pair,296
train,spelling,synthetic_augmented_from_open_clean,13646
train,split_join,real_error_pair,142
train,split_join,synthetic_augmented_from_open_clean,8283
val,clean_identity,clean_identity_from_open_clean,650
val,final_punctuation,real_error_pair,12
val,hard_negative,hard_negative_from_open_clean,650
val,hyphen,synthetic_augmented_from_open_clean,349
val,punctuation,real_error_pair,13
val,punctuation,synthetic_augmented_from_open_clean,1193
val,spelling,real_error_pair,59
val,spelling,synthetic_augmented_from_open_clean,1037
val,split_join,real_error_pair,1
val,split_join,synthetic_augmented_from_open_clean,1036
