rule_id,error_type,count,accepted_count,rejected_count,false_positive_count,false_negative_count
address_comma,punctuation,94,94,0,0,0
capitalization_sentence_start,case,0,4,0,4,0
comma_conjunction,punctuation,99,99,0,0,0
comma_subordinate,punctuation,79,79,0,0,0
comparative_turnover_comma,punctuation,125,125,0,0,0
context_chto_by,split_join,257,0,0,0,257
context_nesmotrya,split_join,440,0,0,0,440
context_pair,split_join,0,0,4,0,0
context_tak_zhe,split_join,92,0,0,0,92
context_to_zhe,split_join,105,0,0,0,105
context_vsledstvie,split_join,277,0,0,0,277
context_za_to,split_join,246,0,4,0,246
cy_exception,spelling,117,0,0,0,117
detached_adverbial_comma,punctuation,102,102,0,0,0
dictionary_fuzzy,spelling,63,8,0,8,63
direct_speech_colon,punctuation,96,0,0,0,96
direct_speech_dash,punctuation,95,95,0,0,0
direct_speech_quotes,punctuation,96,0,96,0,96
double_consonant_candidate,spelling,54,0,0,0,54
enumeration_colon,punctuation,64,0,64,0,64
explanation_colon,punctuation,96,0,96,0,96
extra_letter_candidate,spelling,63,4,0,4,63
final_punctuation_default,final_punctuation,0,9,0,9,0
frequent_error_exact,punctuation,37,0,0,0,37
frequent_error_exact,spelling,29,0,0,0,29
homogeneous_comma,punctuation,105,105,0,0,0
hyphen_koe_koy,hyphen,78,0,0,0,78
hyphen_particles,hyphen,160,0,0,0,160
hyphen_po_adverbs,hyphen,100,0,6,0,100
introductory_comma,punctuation,134,134,0,0,0
keyboard_typo_candidate,spelling,142,4,0,4,142
missing_hard_sign,punctuation,2,0,0,0,2
missing_hard_sign,spelling,2,0,4,0,2
missing_letter_candidate,spelling,69,0,0,0,69
n_nn_adjective,punctuation,4,0,0,0,4
n_nn_adjective,spelling,4,0,0,0,4
n_nn_deverbal_adjective,spelling,221,0,2,0,221
n_nn_participle,final_punctuation,1,0,0,0,1
n_nn_participle,punctuation,5,0,0,0,5
n_nn_participle,spelling,12,0,0,0,12
n_nn_short_form,punctuation,1,0,0,0,1
n_nn_short_form,spelling,2,0,0,0,2
ne_adjective,split_join,230,0,0,0,230
ne_adverb,split_join,212,0,0,0,212
ne_participle,split_join,210,0,0,0,210
ni_stable_expression,split_join,101,0,0,0,101
pattern_жо_же,spelling,0,0,2,0,0
pattern_жы_жи,punctuation,7,0,0,0,7
pattern_жы_жи,spelling,4,0,0,0,4
pattern_цы_ци,spelling,0,0,2,0,0
pattern_чю_чу,final_punctuation,1,0,0,0,1
pattern_чю_чу,punctuation,6,0,0,0,6
pattern_чю_чу,spelling,137,0,0,0,137
pattern_шо_ше,spelling,0,0,2,0,0
pattern_щю_щу,spelling,86,0,0,0,86
pol_polu_compounds,hyphen,91,0,0,0,91
prefix_pre_pri,punctuation,3,0,0,0,3
prefix_pre_pri,spelling,2,0,0,0,2
prefix_s_to_z,punctuation,1,0,0,0,1
prefix_s_to_z,spelling,2,0,0,0,2
soft_to_hard_sign,punctuation,4,0,0,0,4
soft_to_hard_sign,spelling,4,0,0,0,4
subject_predicate_dash,punctuation,104,0,0,0,104
swapped_letters_candidate,spelling,87,0,0,0,87
tsya_soft_delete,final_punctuation,2,0,0,0,2
tsya_soft_delete,punctuation,7,0,0,0,7
tsya_soft_delete,spelling,8,0,0,0,8
tsya_soft_insert,spelling,2,0,0,0,2
unknown,final_punctuation,8,0,0,0,8
unknown,punctuation,45,0,0,0,45
unknown,unknown,0,0,41,0,0
