row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
0,train,88,17,116.99404499813681,110.98195500017027,1.4596770088246558,1.0889430013776291,0.0029719994927290827,1.5049690009618644,2.223587998742005,1.0233629982394632,1.2522799988801125,16,0,2,17,capitalization_sentence_start|comma_subordinate|context_to_zhe|final_punctuation_default,tokenizer
1,train,108,18,3178.491873000894,3174.2882810031006,3166.043028999411,0.4039150007884018,0.001843996869865805,1.6190019996429328,0.284147998172557,1.1330490015097894,1.1593810013437178,16,2,1,18,capitalization_sentence_start|final_punctuation_default|keyboard_typo_candidate|n_nn_short_form,dictionary
2,train,85,6,5.946503999439301,3.659543999674497,0.791727001342224,0.28055300208507106,0.0019240032997913659,0.7260950005729683,0.24348300212295726,0.5955420019745361,0.7158640037232544,8,0,1,6,capitalization_sentence_start|final_punctuation_default,dictionary
3,train,96,15,10.425120999570936,6.766590999177424,0.9209630006807856,0.36715000169351697,0.0021269988792482764,1.228962999448413,0.28257899975869805,1.2233929992362391,0.9168100041279104,16,0,2,15,capitalization_sentence_start|comma_subordinate|final_punctuation_default,diff_alignment
4,train,59,9,23.574844999529887,20.97036299892352,15.83269899856532,0.2748810002231039,0.0018229984561912715,0.8072220007306896,0.17623199892113917,0.8981739993032534,0.7156620013120119,14,2,2,9,capitalization_sentence_start|comma_subordinate|final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate,dictionary
5,train,56,8,5.829220001032809,3.2184579977183603,0.8297060048789717,0.25999200079240836,0.002330001734662801,0.7967900019139051,0.24733199825277552,0.8429749977949541,0.7174849997682031,13,0,4,8,capitalization_sentence_start|direct_speech_colon|direct_speech_quotes|final_punctuation_default,dictionary
6,train,85,12,12.921129000460496,9.668033999332692,1.0721760045271367,0.325825996696949,0.0018229984561912715,1.1808540002675727,0.21289600044838153,1.0440209989610594,0.8089429975370876,15,0,1,12,capitalization_sentence_start|final_punctuation_default|n_nn_short_form,diff_alignment
7,train,71,8,10.094331999425776,6.028036998031894,1.0161690006498247,0.3403090013307519,0.001619999238755554,0.7663039978069719,0.1896009998745285,1.6909129990381189,1.4108670002315193,10,0,1,8,final_punctuation_default|ne_adjective,dictionary
8,train,106,18,15.396072001749417,11.051451998355333,1.4862179996271152,0.4118149990972597,0.0024310029402840883,1.4873360014462378,0.5130979989189655,1.1047910011257045,1.2324070012255106,16,0,1,18,capitalization_sentence_start|final_punctuation_default,diff_alignment
9,train,69,11,40.30865700042341,37.32871999818599,30.2274919959018,0.3003029996762052,0.0018229984561912715,0.9749470009410288,0.19365200205356814,1.025992001814302,0.7769399999233428,16,4,2,11,capitalization_sentence_start|comma_subordinate|dictionary_fuzzy|extra_letter_candidate|final_punctuation_default|keyboard_typo_candidate,dictionary
10,train,132,18,17.909196998516563,13.348946999030886,1.3145489974704105,0.49000599756254815,0.0020260013116057962,1.6560719996050466,0.2715379996516276,1.0384509987488855,1.5871990035520867,16,0,2,18,capitalization_sentence_start|final_punctuation_default|introductory_comma,diff_alignment
11,train,49,8,44.21391200230573,41.78454799694009,37.143374003790086,0.23001299996394664,0.0017220008885487914,0.7229549992189277,0.17025600027409382,0.9294699993915856,0.5987820004520472,13,3,1,8,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate,dictionary
12,train,107,14,17.84538900028565,14.329564997751731,8.20926200321992,0.40077499943436123,0.0022280000848695636,1.1855129996547475,0.2404449987807311,1.0814959969138727,1.001178996375529,16,2,1,14,final_punctuation_default|keyboard_typo_candidate|swapped_letters_candidate,dictionary
13,train,69,11,10.147200999199413,6.603828998777317,0.6761629992979579,0.29888499921071343,0.0017220008885487914,0.8905780014174525,0.1939569992828183,1.6837219991430175,0.7681280039832927,14,0,2,11,comma_subordinate|context_chto_by|final_punctuation_default,diff_alignment
