rule_id,group,gold_count,predicted_count,true_positive,false_positive,false_negative,precision,recall,f1
address_comma,addresses_interjections_particles,94,94,94,0,0,1.0,1.0,1.0
capitalization_sentence_start,capitalization_sentence_start,0,4,0,4,0,0.0,0.0,0.0
comma_conjunction,homogeneous_commas,99,91,91,0,8,1.0,0.9191919191919192,0.9578947368421054
comma_subordinate,complex_sentence_subordinate,79,79,79,0,0,1.0,1.0,1.0
comparative_turnover_comma,comparative_turnovers,125,125,125,0,0,1.0,1.0,1.0
context_chto_by,solid_hyphen_separate_service_words,257,0,0,0,257,0.0,0.0,0.0
context_nesmotrya,solid_hyphen_separate_service_words,440,0,0,0,440,0.0,0.0,0.0
context_tak_zhe,solid_hyphen_separate_service_words,92,0,0,0,92,0.0,0.0,0.0
context_to_zhe,solid_hyphen_separate_service_words,105,0,0,0,105,0.0,0.0,0.0
context_vsledstvie,solid_hyphen_separate_service_words,277,0,0,0,277,0.0,0.0,0.0
context_za_to,solid_hyphen_separate_service_words,246,0,0,0,246,0.0,0.0,0.0
cy_exception,letter_basic_hissing_vowel_patterns,117,0,0,0,117,0.0,0.0,0.0
detached_adverbial_comma,detached_adverbials,102,102,102,0,0,1.0,1.0,1.0
dictionary_fuzzy,typos_letter_operations,63,0,0,0,63,0.0,0.0,0.0
direct_speech_colon,direct_speech_quotes,96,0,0,0,96,0.0,0.0,0.0
direct_speech_dash,direct_speech_quotes,95,95,0,95,95,0.0,0.0,0.0
direct_speech_quotes,direct_speech_quotes,96,0,0,0,96,0.0,0.0,0.0
double_consonant_candidate,consonants_double,54,0,0,0,54,0.0,0.0,0.0
enumeration_colon,homogeneous_generalizing_word,64,0,0,0,64,0.0,0.0,0.0
explanation_colon,complex_sentence_asyndetic,96,0,0,0,96,0.0,0.0,0.0
extra_letter_candidate,typos_letter_operations,63,0,0,0,63,0.0,0.0,0.0
final_punctuation_default,sentence_final_default_dot,0,2,0,2,0,0.0,0.0,0.0
frequent_error_exact,typical_dictionary_words,66,0,0,0,66,0.0,0.0,0.0
homogeneous_comma,homogeneous_commas,105,105,105,0,0,1.0,1.0,1.0
hyphen_koe_koy,solid_hyphen_separate_pronouns_adverbs_particles,78,0,0,0,78,0.0,0.0,0.0
hyphen_particles,solid_hyphen_separate_pronouns_adverbs_particles,160,0,0,0,160,0.0,0.0,0.0
hyphen_po_adverbs,solid_hyphen_separate_pronouns_adverbs_particles,100,0,0,0,100,0.0,0.0,0.0
introductory_comma,introductory_words,134,134,134,0,0,1.0,1.0,1.0
keyboard_typo_candidate,typos_letter_operations,142,0,0,0,142,0.0,0.0,0.0
missing_hard_sign,hard_soft_signs,4,4,0,4,4,0.0,0.0,0.0
missing_letter_candidate,typos_letter_operations,69,0,0,0,69,0.0,0.0,0.0
n_nn_adjective,n_nn_suffixes,8,0,0,0,8,0.0,0.0,0.0
n_nn_deverbal_adjective,n_nn_suffixes,221,0,0,0,221,0.0,0.0,0.0
n_nn_participle,n_nn_suffixes,18,0,0,0,18,0.0,0.0,0.0
n_nn_short_form,n_nn_suffixes,3,0,0,0,3,0.0,0.0,0.0
ne_adjective,solid_hyphen_separate_ne,230,0,0,0,230,0.0,0.0,0.0
ne_adverb,solid_hyphen_separate_ne,212,0,0,0,212,0.0,0.0,0.0
ne_participle,solid_hyphen_separate_ne,210,0,0,0,210,0.0,0.0,0.0
ni_stable_expression,ne_ni_particles,101,0,0,0,101,0.0,0.0,0.0
pattern_жо_же,letter_basic_hissing_vowel_patterns,0,2,0,2,0,0.0,0.0,0.0
pattern_жы_жи,letter_basic_hissing_vowel_patterns,11,0,0,0,11,0.0,0.0,0.0
pattern_цы_ци,letter_basic_hissing_vowel_patterns,0,2,0,2,0,0.0,0.0,0.0
pattern_чю_чу,letter_basic_hissing_vowel_patterns,144,0,0,0,144,0.0,0.0,0.0
pattern_шо_ше,letter_basic_hissing_vowel_patterns,0,4,0,4,0,0.0,0.0,0.0
pattern_щю_щу,letter_basic_hissing_vowel_patterns,86,0,0,0,86,0.0,0.0,0.0
pol_polu_compounds,solid_hyphen_separate_general,91,0,0,0,91,0.0,0.0,0.0
prefix_pre_pri,prefix_vowels,5,0,0,0,5,0.0,0.0,0.0
prefix_s_to_z,consonants_prefix_z_s,3,0,0,0,3,0.0,0.0,0.0
soft_to_hard_sign,hard_soft_signs,8,0,0,0,8,0.0,0.0,0.0
subject_predicate_dash,dash_subject_predicate,104,0,0,0,104,0.0,0.0,0.0
swapped_letters_candidate,typos_letter_operations,87,0,0,0,87,0.0,0.0,0.0
tsya_soft_delete,soft_sign_grammatical_forms,17,0,0,0,17,0.0,0.0,0.0
tsya_soft_insert,soft_sign_grammatical_forms,2,0,0,0,2,0.0,0.0,0.0
unknown,unknown,53,0,0,0,53,0.0,0.0,0.0
