rule_id,syntax_family,gold_count,candidate_present_count,candidate_recall,missing_count,hard_negative_count,trap_candidate_count,guard_only_count
address_comma,address_comma,50,50,1.0,0,0,0,0
apposition_comma,detached_applications,50,50,1.0,0,0,0,0
asyndetic_dash,asyndetic_complex_sentence,50,50,1.0,0,0,0,0
bracket_pair_balance,quote_bracket_balance,50,50,1.0,0,0,0,0
clarification_comma,clarification_members,50,50,1.0,0,0,0,0
comma_conjunction,coordinating_conjunction_comma,50,50,1.0,0,0,0,0
comma_subordinate,subordinate_clause_comma,50,50,1.0,0,0,0,0
comparative_turnover_comma,comparative_turnovers,50,50,1.0,0,0,0,0
consequence_dash,asyndetic_complex_sentence,50,50,1.0,0,0,0,0
context_chto_by,context_pairs,50,50,1.0,0,0,0,0
context_nesmotrya,context_pairs,50,50,1.0,0,0,0,0
context_tak_zhe,context_pairs,50,50,1.0,0,0,0,0
context_to_zhe,context_pairs,50,50,1.0,0,0,0,0
context_vsledstvie,context_pairs,50,50,1.0,0,0,0,0
context_za_to,context_pairs,50,50,1.0,0,0,0,0
detached_adverbial_comma,detached_adverbial_phrases,50,50,1.0,0,0,0,0
detached_participial_comma,detached_participial_phrases,50,50,1.0,0,0,0,0
direct_speech_colon,direct_speech_syntax,50,50,1.0,0,0,0,0
direct_speech_dash,direct_speech_syntax,50,50,1.0,0,0,0,0
direct_speech_quotes,direct_speech_syntax,50,50,1.0,0,0,0,0
enumeration_colon,enumeration_colon_dash,50,50,1.0,0,0,0,0
enumeration_dash,enumeration_colon_dash,50,50,1.0,0,0,0,0
explanation_colon,asyndetic_complex_sentence,50,50,1.0,0,0,0,0
homogeneous_comma,homogeneous_members,50,50,1.0,0,0,0,0
introductory_comma,introductory_words,50,50,1.0,0,0,0,0
n_nn_adjective,n_nn_context,50,50,1.0,0,0,0,0
n_nn_deverbal_adjective,n_nn_context,50,50,1.0,0,0,0,0
n_nn_participle,n_nn_context,50,50,1.0,0,0,0,0
n_nn_short_form,n_nn_context,50,50,1.0,0,0,0,0
ne_adjective,ne_with_parts_of_speech,50,50,1.0,0,0,0,0
ne_adverb,ne_with_parts_of_speech,50,50,1.0,0,0,0,0
ne_participle,ne_with_parts_of_speech,50,50,1.0,0,0,0,0
ne_predicative,ne_with_parts_of_speech,50,50,1.0,0,0,0,0
ne_short_form,ne_with_parts_of_speech,50,50,1.0,0,0,0,0
ne_verb,ne_with_parts_of_speech,50,50,1.0,0,0,0,0
ni_particle_context,ni_context,50,50,1.0,0,0,0,0
ni_stable_expression,ni_context,50,50,1.0,0,0,0,0
punctuation_delete_replace,punctuation_combinations,50,50,1.0,0,0,0,0
quote_pair_balance,quote_bracket_balance,50,50,1.0,0,0,0,0
semicolon,asyndetic_complex_sentence,50,50,1.0,0,0,0,0
subject_predicate_dash,subject_predicate_dash,50,50,1.0,0,0,0,0
tsya_soft_delete,tsya_tsya_context,50,50,1.0,0,0,0,0
tsya_soft_insert,tsya_tsya_context,50,50,1.0,0,0,0,0
