syntax_family,hard_negative_count,trap_candidate_count,guard_only_count,unsafe_candidate_generated_count,unsafe_candidate_accepted_count,accepted_bad_edit_count,trap_candidate_rejection_rate,guard_candidate_absence_rate,hard_negative_overcorrection_rate
address_comma,50,25,25,25,0,0,1.0,1.0,0.0
asyndetic_complex_sentence,50,25,25,25,0,0,1.0,1.0,0.0
clarification_members,50,25,25,25,0,0,1.0,1.0,0.0
comparative_turnovers,50,25,25,25,0,0,1.0,1.0,0.0
context_pairs,50,25,25,25,0,0,1.0,1.0,0.0
coordinating_conjunction_comma,50,25,25,25,0,0,1.0,1.0,0.0
detached_adverbial_phrases,50,25,25,25,0,0,1.0,1.0,0.0
detached_applications,50,25,25,25,0,0,1.0,1.0,0.0
detached_participial_phrases,50,25,25,25,0,0,1.0,1.0,0.0
direct_speech_syntax,50,25,25,25,0,0,1.0,1.0,0.0
enumeration_colon_dash,50,25,25,25,0,0,1.0,1.0,0.0
homogeneous_members,50,25,25,25,0,0,1.0,1.0,0.0
introductory_words,50,25,25,25,0,0,1.0,1.0,0.0
n_nn_context,50,25,25,25,0,0,1.0,1.0,0.0
ne_with_parts_of_speech,50,25,25,25,0,0,1.0,1.0,0.0
ni_context,50,25,25,25,0,0,1.0,1.0,0.0
punctuation_combinations,50,25,25,25,0,0,1.0,1.0,0.0
quote_bracket_balance,50,25,25,25,0,0,1.0,1.0,0.0
subject_predicate_dash,50,25,25,25,0,0,1.0,1.0,0.0
subordinate_clause_comma,50,25,25,25,0,0,1.0,1.0,0.0
tsya_tsya_context,50,25,25,25,0,0,1.0,1.0,0.0
