category,rows,baseline_exact,tuned_exact,baseline_improved,tuned_improved,baseline_clean_overcorrection,tuned_clean_overcorrection,baseline_mean_distance_delta,tuned_mean_distance_delta
clean_hard_negative,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
clean_identity,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
context_pair,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_comma_conjunction,7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
dataset_comma_subordinate,6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
dataset_context_chto_by,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_context_nesmotrya,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_context_tak_zhe,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_context_to_zhe,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_dictionary_fuzzy,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_double_consonant_candidate,8,0.0,0.875,0.0,0.875,0.0,0.0,0.0,0.875
dataset_extra_letter_candidate,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_homogeneous_comma,7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
dataset_hyphen_koe_koy,7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
dataset_hyphen_particles,6,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
dataset_hyphen_po_adverbs,7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
dataset_introductory_comma,8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
dataset_keyboard_typo_candidate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_missing_letter_candidate,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_n_nn_adjective,6,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,-0.16666666666666666,0.3333333333333333
dataset_n_nn_deverbal_adjective,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_n_nn_participle,6,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
dataset_swapped_letters_candidate,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frequent_spelling_exact,66,0.015151515151515152,0.42424242424242425,0.015151515151515152,0.42424242424242425,0.0,0.0,0.015151515151515152,0.5
hyphen_whitelist,6,0.5,1.0,0.5,1.0,0.0,0.0,0.5,1.0
split_join_exact,5,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.8
