threshold_key,current,tuned,floor,candidate_count,expected_count,tp_at_tuned,fp_at_tuned,fn_at_tuned,precision_at_tuned,recall_at_tuned
capitalization_sentence_start_threshold,0.98,0.98,0.2,100,1,0,0,1,1.0,0.0
dictionary_fuzzy_threshold,0.95,0.95,0.95,102,30,0,0,30,1.0,0.0
double_consonant_candidate_threshold,0.84,0.45,0.45,31,31,23,0,8,1.0,0.7419354838709677
extra_letter_candidate_threshold,0.95,0.95,0.95,44,14,0,0,14,1.0,0.0
frequent_error_exact_threshold,0.95,0.18,0.18,29,29,28,0,1,1.0,0.9655172413793104
hyphen_koe_koy_threshold,0.45,0.45,0.2,8,8,8,0,0,1.0,1.0
hyphen_particles_threshold,0.5,0.5,0.2,8,8,8,0,0,1.0,1.0
hyphen_po_adverbs_threshold,0.88,0.4,0.4,9,8,8,1,0,0.8888888888888888,1.0
hyphen_threshold,0.95,0.82,0.8,2,2,2,0,0,1.0,1.0
keyboard_typo_candidate_threshold,0.95,0.95,0.95,39,10,0,0,10,1.0,0.0
missing_letter_candidate_threshold,0.95,0.95,0.95,27,18,0,0,18,1.0,0.0
n_nn_deverbal_adjective_threshold,0.92,0.62,0.62,5,5,5,0,0,1.0,1.0
split_join_threshold,0.95,0.95,0.2,75,41,0,0,41,1.0,0.0
swapped_letters_candidate_threshold,0.84,0.84,0.84,16,11,0,0,11,1.0,0.0
