threshold_key,current,tuned,floor,decision_count,positive_count,negative_count,tp,fp,fn,precision,recall,objective
capitalization_sentence_start_threshold,0.98,0.98,0.85,65,1,64,0,0,1,1.0,0.0,-1.0
colon_threshold,0.92,0.995,0.75,160,160,0,160,0,0,1.0,1.0,480.0
comma_conjunction_threshold,0.995,0.98,0.85,208,200,8,198,0,2,1.0,0.99,592.0
comma_subordinate_threshold,0.92,0.97,0.7,239,168,71,158,0,10,1.0,0.9404761904761905,464.0
comma_threshold,0.9,0.94,0.65,426,426,0,426,0,0,1.0,1.0,1278.0
cy_exception_threshold,0.58,0.57,0.2,117,117,0,117,0,0,1.0,1.0,351.0
dash_threshold,0.94,0.999,0.75,95,95,0,95,0,0,1.0,1.0,285.0
default_threshold,0.9,0.64,0.4,756,689,67,638,0,51,1.0,0.9259796806966618,1863.0
dictionary_fuzzy_threshold,0.95,0.95,0.35,889,311,578,0,0,311,1.0,0.0,-311.0
direct_speech_colon_threshold,0.995,0.995,0.95,361,96,265,0,0,96,1.0,0.0,-96.0
direct_speech_quotes_threshold,0.995,0.995,0.95,766,192,574,96,0,96,1.0,0.5,192.0
double_consonant_candidate_threshold,0.45,0.33,0.25,88,80,8,76,6,4,0.926829268292683,0.95,170.0
extra_letter_candidate_threshold,0.95,0.95,0.25,437,87,350,0,0,87,1.0,0.0,-87.0
final_punctuation_threshold,0.95,0.93,0.65,11,5,6,1,0,4,1.0,0.2,-1.0
frequent_error_exact_threshold,0.18,0.15,0.05,9,9,0,9,0,0,1.0,1.0,36.0
hyphen_koe_koy_threshold,0.45,0.45,0.2,78,78,0,78,0,0,1.0,1.0,234.0
hyphen_particles_threshold,0.5,0.52,0.2,80,80,0,80,0,0,1.0,1.0,240.0
hyphen_po_adverbs_threshold,0.4,0.4,0.2,120,100,20,0,0,100,1.0,0.0,-100.0
hyphen_threshold,0.82,0.82,0.35,91,91,0,0,0,91,1.0,0.0,-91.0
introductory_comma_threshold,0.97,0.95,0.2,278,276,2,268,0,8,1.0,0.9710144927536232,796.0
keyboard_typo_candidate_threshold,0.95,0.95,0.25,307,144,163,0,0,144,1.0,0.0,-144.0
missing_letter_candidate_threshold,0.95,0.95,0.25,136,75,61,0,0,75,1.0,0.0,-75.0
n_nn_deverbal_adjective_threshold,0.62,0.59,0.2,223,221,2,221,2,0,0.9910313901345291,1.0,645.0
ne_adjective_threshold,0.99995,0.99995,0.98,185,115,70,0,0,115,1.0,0.0,-115.0
ne_adverb_threshold,0.99995,0.99995,0.98,154,106,48,0,0,106,1.0,0.0,-106.0
ne_participle_threshold,0.99995,0.99995,0.98,125,105,20,0,0,105,1.0,0.0,-105.0
punctuation_delete_replace_threshold,0.9999,0.9999,0.99,8,6,2,0,0,6,1.0,0.0,-6.0
spelling_threshold,0.92,0.92,0.35,160,4,156,0,0,4,1.0,0.0,-4.0
split_join_threshold,0.95,0.95,0.35,1043,692,351,0,0,692,1.0,0.0,-692.0
subject_predicate_dash_threshold,0.99,0.99,0.85,218,208,10,208,0,0,1.0,1.0,624.0
swapped_letters_candidate_threshold,0.84,0.76,0.25,101,89,12,87,0,2,1.0,0.9775280898876404,259.0
